open,high,low,close,volume,market,viable
0.00013,0.00015,1.00E-04,1.00E-04,50,5414,1
0.00528,0.00528,0.00394,0.00421,63,4125,1
0.00668,0.00752,0.0063,0.00682,48,32410,1
0.00018,0.00018,0.00014,0.00016,939,250898,1
5.00E-05,6.00E-05,5.00E-05,6.00E-05,15,8461,1
0.01194,0.01327,0.01152,0.01325,18,2111,1
0.03513,0.03832,0.03397,0.0349,27,5875,1
0.04087,0.05262,0.0407,0.04475,428578,3062390,1
0.00909,0.00996,0.00907,0.00994,66,45218,1
0.00188,0.00193,0.00126,0.00126,162,235281,0
1.00E-05,1.00E-05,1.00E-05,1.00E-05,31,31438,1
0.01725,0.02065,0.01359,0.01791,749,16553,1
0.00479,0.00497,0.00446,0.00476,7020,336828,1
44.41,44.41,40.08,40.31,658957,9817220,0
0.01683,0.02229,0.01566,0.02184,2258,166988,0
0.00133,0.00139,0.0013,0.0013,109,13899,1
0.63699,0.70676,0.52761,0.64727,2512640,53958700,0
0.00221,0.00232,0.00216,0.00225,126,101350,1
0.00109,0.00155,0.00109,0.00151,71,53108,1
7.00E-05,7.00E-05,6.00E-05,6.00E-05,7,786,1
0.00026,0.00027,0.00026,0.00026,44,37650,1
2.2,2.39,2.12,2.38,20990700,220169000,0
2.00E-05,2.00E-05,1.00E-05,1.00E-05,6,750,1
7.00E-05,8.00E-05,7.00E-05,7.00E-05,7,5516,1
0.00225,0.00233,0.0019,0.00194,1988,1787860,1
0.00116,0.00232,0.00116,0.00128,51,36857,1
0.01258,0.01783,0.01205,0.01414,576,18335,1
2.00E-05,2.00E-05,1.00E-05,2.00E-05,9,554,1
0.00013,0.00014,8.00E-05,0.00014,2,409,1
0.03256,0.0341,0.03226,0.03288,7472,751392,1
0.19268,0.19632,0.18602,0.18986,25585,7596960,1
3.26,3.27,3.22,3.25,1188610,147422000,1
0.19047,0.19501,0.16464,0.17587,1019,122988,1
0.00623,0.00914,0.00622,0.00645,16,2490,1
0.00163,0.00178,0.00133,0.00135,559,7383,1
0.14107,0.18071,0.12866,0.13117,191,17366,0
0.00014,0.00015,0.00013,0.00014,2117,1244580,1
0.16667,0.1669,0.12896,0.15184,84,158896,1
0.01058,0.01127,0.00984,0.01021,473,103926,1
0.00172,0.00172,0.00161,0.00165,31598,11766800,1
6.00E-05,7.00E-05,6.00E-05,6.00E-05,20246,10843900,1
0.02059,0.02189,0.01965,0.02106,1349,928206,1
0.29097,0.29781,0.28286,0.29213,1971,565087,1
0.00319,0.00323,0.00277,0.00302,23,12369,1
0.00037,0.00038,0.00031,0.00031,1,1917,1
0.00099,0.00099,0.00051,0.00051,13,1685,1
0.00816,0.00816,0.00745,0.00748,108,359959,0
0.51662,0.58249,0.50579,0.56043,345,26293,1
0.09102,0.11174,0.08952,0.09474,15220,412234,1
0.00449,0.0045,0.00448,0.00449,13,6331,0
0.00378,0.0067,0.00378,0.0054,1218,33741,1
0.00924,0.00925,0.00876,0.00882,811,31741,1
0.00108,0.00108,0.00107,0.00107,9,7622,1
0.15601,0.15697,0.0832,0.10983,465,31315,1
0.00036,0.00051,3.00E-04,0.00031,11,7065,1
0.00041,0.00043,0.00035,0.00039,21,15935,1
0.00069,0.00098,0.00068,0.00081,25,7513,1
6.00E-05,6.00E-05,5.00E-05,5.00E-05,1,205,1
0.0016,0.00161,0.00131,0.00151,10863,1606880,1
0.00183,0.00184,0.00085,0.00169,6,21820,1
0.01525,0.01539,0.01525,0.01537,6,18416,1
0.26196,0.26777,0.25665,0.25697,16079,3390610,1
0.004,0.00504,0.00321,0.00407,1481,10586,1
0.09847,0.10045,0.08145,0.08308,6174,848925,1
0.00061,0.00071,0.00061,0.00065,465,252142,1
0.04578,0.20288,0.04578,0.16722,69,112086,1
2.00E-05,5.00E-05,2.00E-05,5.00E-05,16,1467,1
0.01272,0.01412,0.01104,0.01105,1263,59574,1
0.00079,0.00079,0.00078,0.00079,1,2707,1
0.00587,0.00591,0.00574,0.00583,653081,217476000,1
0.00169,0.00214,0.00166,0.00212,328,276608,1
0.01164,0.01235,0.00867,0.00895,70,40238,1
0.07587,0.08774,0.07428,0.08275,919,532706,1
9.21,9.48,9.13,9.4,1174590,63217900,1
0.00351,0.00423,0.00351,0.00423,356,77156,1
0.09759,0.1023,0.09607,0.099,24149,1611440,1
3.00E-05,3.00E-05,2.00E-05,2.00E-05,168,58762,1
0.38354,0.40149,0.36456,0.38796,8096,4818510,1
0.0255,0.02977,0.024,0.02766,3401,33166,0
0.00032,0.00036,3.00E-04,0.00034,190,45361,1
