open,high,low,close,volume,market,viable,predicted
0.010029999999999999,0.01053,0.00953,0.01052,21,16784.0,1,0.7142857142857143
0.00018,0.00021,0.00013000000000000002,0.00013000000000000002,22,34431.0,1,0.8936781609195402
1e-05,2e-05,1e-05,1e-05,55,27901.0,1,0.8936781609195402
0.42213999999999996,0.54425,0.37148000000000003,0.3909,47250,2646020.0,1,0.8876404494382022
0.02105,0.02392,0.02105,0.022930000000000002,490,136318.0,1,0.8876404494382022
0.00059,0.0006799999999999999,0.00059,0.00061,104,40237.0,1,0.9036697247706422
0.02179,0.02588,0.02179,0.02349,705,143220.0,0,0.8876404494382022
0.025240000000000002,0.0322,0.018330000000000003,0.02398,66736,6312080.0,1,0.8876404494382022
0.02041,0.054189999999999995,0.02041,0.0414,1015,37372.0,1,0.8876404494382022
1.84,2.09,1.8,1.85,15418800,152797000.0,1,0.8876404494382022
0.00229,0.00253,0.00229,0.00236,4,52991.0,1,0.9036697247706422
0.00128,0.0012900000000000001,0.001,0.00119,275,29470.0,1,0.9036697247706422
0.00015,0.00015,0.0001,0.00013000000000000002,2028,214632.0,1,0.8936781609195402
1.76,1.78,1.74,1.76,29218,16548900.0,1,0.8876404494382022
0.0471,0.04923,0.04503,0.04602,21327,802663.0,1,0.8876404494382022
0.01747,0.017480000000000002,0.016280000000000003,0.01633,70,20662.0,0,0.8876404494382022
0.00244,0.00265,0.00242,0.00257,54,25788.0,1,0.9036697247706422
0.0007,0.00082,0.00065,0.00075,229,511607.0,0,0.9036697247706422
0.00863,0.008759999999999999,0.00532,0.00584,267706,1637770.0,1,0.9036697247706422
0.00149,0.00172,0.00148,0.0016699999999999998,3,2525.0,1,0.9036697247706422
0.08127000000000001,0.10340999999999999,0.06287000000000001,0.06676,3871,1882410.0,0,0.8876404494382022
2e-05,5e-05,2e-05,2e-05,21,5167.0,1,0.8936781609195402
0.00016,0.0002,0.00014,0.0002,159,220817.0,1,0.8936781609195402
0.013330000000000002,0.01383,0.01039,0.013009999999999999,1526,43914.0,1,0.8876404494382022
0.47512,0.49556999999999995,0.47026999999999997,0.48005,56677,18185600.0,1,0.8876404494382022
0.3016,0.30213,0.27095,0.29267,38,10277.0,1,0.8876404494382022
0.00042,0.00042,0.00031,0.00042,9,7793.0,1,0.9036697247706422
0.19473,0.20292000000000002,0.17601,0.1843,12772,2442580.0,0,0.8876404494382022
0.0008900000000000001,0.0009,0.00088,0.0009,83,38650.0,1,0.9036697247706422
0.00013000000000000002,0.00014,0.00013000000000000002,0.00014,69654,13172900.0,1,0.8936781609195402
0.00558,0.00558,0.00486,0.00517,4910,1386560.0,1,0.9036697247706422
0.031139999999999998,0.23671999999999999,0.029869999999999997,0.12689,724870,823121.0,1,0.8876404494382022
0.12902,0.13079000000000002,0.12262999999999999,0.12584,990192,12914500.0,0,0.8876404494382022
0.00033999999999999997,0.00033999999999999997,0.00033,0.00033,11,153877.0,1,0.9036697247706422
0.00037999999999999997,0.00037999999999999997,0.00035,0.00035,216,161292.0,1,0.9036697247706422
3.77,3.78,3.71,3.72,1480630,164389000.0,1,0.8876404494382022
0.0027300000000000002,0.00275,0.0014199999999999998,0.00186,1011,28932.0,1,0.9036697247706422
0.038669999999999996,0.03907,0.03474,0.037689999999999994,2740,490353.0,1,0.8876404494382022
2.75,2.81,2.42,2.65,27131,7291940.0,1,0.8876404494382022
0.00027,0.00027,0.00026000000000000003,0.00026000000000000003,8,2558.0,1,0.9036697247706422
0.00196,0.00197,0.0018,0.0018,2079,598869.0,1,0.9036697247706422
0.00011,0.00011999999999999999,7e-05,0.0001,22,1129.0,1,0.8936781609195402
0.84186,0.8643700000000001,0.64777,0.70835,37986,721738.0,1,0.8876404494382022
0.00031,0.00079,0.00016999999999999999,0.0006900000000000001,13733,194420.0,1,0.9036697247706422
0.00015,0.0002,0.00014,0.00015,29,1565.0,1,0.8936781609195402
5e-05,5e-05,2.9999999999999997e-05,2.9999999999999997e-05,6,28618.0,1,0.8936781609195402
0.036989999999999995,0.03953,0.03563,0.03592,799,244626.0,1,0.8876404494382022
0.00146,0.0027600000000000003,0.00134,0.0025399999999999997,180,27097.0,1,0.9036697247706422
7e-05,8e-05,7e-05,7e-05,9,38776.0,1,0.8936781609195402
0.42857,0.48808,0.42857,0.44443,2843,15138100.0,1,0.8876404494382022
0.00589,0.00596,0.00586,0.0059299999999999995,14,11233.0,0,0.9036697247706422
0.0006900000000000001,0.0006900000000000001,0.00063,0.00065,36,15122.0,1,0.9036697247706422
5.9999999999999995e-05,5.9999999999999995e-05,5e-05,5e-05,2,9180.0,1,0.8936781609195402
0.00185,0.00215,0.0018399999999999998,0.00197,785,13771.0,1,0.9036697247706422
1e-05,1e-05,1e-05,1e-05,1,29505.0,1,0.8936781609195402
0.00499,0.00549,0.0039700000000000004,0.00455,666,552855.0,1,0.9036697247706422
0.00013000000000000002,0.00013000000000000002,0.00013000000000000002,0.00013000000000000002,22,17926.0,1,0.8936781609195402
0.00022,0.00022,0.00016,0.00016,10,2835.0,1,0.9036697247706422
0.03595,0.03595,0.02645,0.0305,2447,1430880.0,1,0.8876404494382022
0.39733,0.3984,0.36338000000000004,0.39039,1247,377127.0,1,0.8876404494382022
0.00487,0.00511,0.0048,0.00498,1065,38894.0,1,0.9036697247706422
0.02054,0.02141,0.020390000000000002,0.02097,417,151249.0,1,0.8876404494382022
0.36557,0.42377,0.2991,0.29941,3234,529564.0,1,0.8876404494382022
0.016280000000000003,0.01648,0.01208,0.0133,4565,626670.0,1,0.8876404494382022
